"DELTA_ROBOT"

"Time      "	"TORQUE_M1.Q"	"TORQUE_M2.Q"	"TORQUE_M3.Q"
0.000000e+00	2.759109e+04	1.037885e+04	8.612991e+03
3.694235e-03	2.759037e+04	1.037536e+04	8.613065e+03
7.388469e-03	2.759390e+04	1.037024e+04	8.609184e+03
1.108270e-02	2.759891e+04	1.036133e+04	8.600984e+03
1.477694e-02	3.491307e+04	8.163053e+03	5.720605e+03
1.847117e-02	2.274872e+04	1.178475e+04	1.048564e+04
2.216541e-02	2.091965e+04	1.232430e+04	1.120268e+04
2.585964e-02	-7.358794e+03	2.085207e+04	2.239174e+04
2.955388e-02	9.747190e+03	1.571305e+04	1.564009e+04
3.324811e-02	8.661049e+03	1.604800e+04	1.607789e+04
3.694235e-02	8.270303e+03	1.617557e+04	1.624266e+04
4.063658e-02	8.295564e+03	1.617730e+04	1.624225e+04
4.433082e-02	8.320804e+03	1.617902e+04	1.624183e+04
4.802505e-02	8.354347e+03	1.622433e+04	1.631229e+04
5.171928e-02	8.382922e+03	1.624189e+04	1.633783e+04
5.541352e-02	8.403510e+03	1.621823e+04	1.629635e+04
5.910775e-02	8.429831e+03	1.622482e+04	1.630399e+04
6.280199e-02	8.455177e+03	1.622638e+04	1.630347e+04
6.649622e-02	8.480501e+03	1.622793e+04	1.630293e+04
7.019046e-02	8.505355e+03	1.623191e+04	1.630602e+04
7.388469e-02	8.527813e+03	1.625765e+04	1.634218e+04
7.757893e-02	8.557141e+03	1.625645e+04	1.633873e+04
8.127316e-02	8.583927e+03	1.626053e+04	1.634266e+04
8.496740e-02	8.610447e+03	1.626670e+04	1.634974e+04
8.866163e-02	8.637076e+03	1.627230e+04	1.635599e+04
9.235587e-02	8.663678e+03	1.627789e+04	1.636223e+04
9.605010e-02	8.685868e+03	1.628657e+04	1.637183e+04
9.974433e-02	8.706408e+03	1.629641e+04	1.638270e+04
1.034386e-01	8.738177e+03	1.629833e+04	1.638492e+04
1.071328e-01	8.763874e+03	1.630450e+04	1.639177e+04
1.108270e-01	8.790335e+03	1.631011e+04	1.639802e+04
1.145213e-01	8.816799e+03	1.631570e+04	1.640423e+04
1.182155e-01	8.842933e+03	1.632148e+04	1.641066e+04
1.219097e-01	8.860301e+03	1.633323e+04	1.642361e+04
1.256040e-01	8.888483e+03	1.633761e+04	1.642849e+04
1.292982e-01	8.916732e+03	1.634190e+04	1.643329e+04
1.329924e-01	8.942593e+03	1.634780e+04	1.643984e+04
1.366867e-01	8.968910e+03	1.635337e+04	1.644602e+04
1.403809e-01	8.995200e+03	1.635894e+04	1.645220e+04
1.440751e-01	9.018789e+03	1.636627e+04	1.646031e+04
1.477694e-01	9.036365e+03	1.637758e+04	1.647276e+04
1.514636e-01	9.068215e+03	1.637942e+04	1.647486e+04
1.551579e-01	9.093956e+03	1.638528e+04	1.648134e+04
1.588521e-01	9.120009e+03	1.639091e+04	1.648758e+04
1.625463e-01	9.146152e+03	1.639646e+04	1.649372e+04
1.662406e-01	9.172265e+03	1.640200e+04	1.649986e+04
1.699348e-01	9.190854e+03	1.641237e+04	1.651127e+04
1.736290e-01	9.214986e+03	1.641917e+04	1.651878e+04
1.773233e-01	9.244832e+03	1.642225e+04	1.652222e+04
1.810175e-01	9.270078e+03	1.642828e+04	1.652887e+04
1.847117e-01	9.296068e+03	1.643381e+04	1.653498e+04
1.884060e-01	9.322030e+03	1.643932e+04	1.654107e+04
1.921002e-01	9.346636e+03	1.644567e+04	1.654807e+04
1.957944e-01	9.362494e+03	1.645750e+04	1.656107e+04
1.994887e-01	9.393114e+03	1.646005e+04	1.656391e+04
2.031829e-01	9.419384e+03	1.646530e+04	1.656970e+04
2.068771e-01	9.444951e+03	1.647097e+04	1.657595e+04
2.105714e-01	9.470760e+03	1.647647e+04	1.658200e+04
2.142656e-01	9.496540e+03	1.648196e+04	1.658805e+04
2.179598e-01	9.517141e+03	1.649059e+04	1.659754e+04
2.216541e-01	9.536740e+03	1.649983e+04	1.660769e+04
2.253483e-01	9.568043e+03	1.650188e+04	1.660996e+04
2.290425e-01	9.592801e+03	1.650792e+04	1.661660e+04
2.327368e-01	9.618426e+03	1.651340e+04	1.662262e+04
2.364310e-01	9.644046e+03	1.651886e+04	1.662862e+04
2.401252e-01	9.669214e+03	1.652456e+04	1.663488e+04
2.438195e-01	9.684738e+03	1.653599e+04	1.664742e+04
2.475137e-01	9.712705e+03	1.654001e+04	1.665184e+04
2.512080e-01	9.740031e+03	1.654437e+04	1.665662e+04
2.549022e-01	9.765031e+03	1.655010e+04	1.666290e+04
2.585964e-01	9.790493e+03	1.655552e+04	1.666885e+04
2.622907e-01	9.815926e+03	1.656095e+04	1.667479e+04
2.659849e-01	9.838160e+03	1.656820e+04	1.668274e+04
2.696791e-01	9.854411e+03	1.657892e+04	1.669448e+04
2.733734e-01	9.885924e+03	1.658075e+04	1.669648e+04
2.770676e-01	9.910661e+03	1.658649e+04	1.670276e+04
2.807618e-01	9.935847e+03	1.659194e+04	1.670872e+04
2.844561e-01	9.961114e+03	1.659732e+04	1.671461e+04
2.881503e-01	9.986334e+03	1.660271e+04	1.672049e+04
2.918445e-01	1.000304e+04	1.661289e+04	1.673163e+04
