"DELTA_ROBOT"

"Time      "	"TORQUE_M1.Q"	"TORQUE_M2.Q"	"TORQUE_M3.Q"
0.000000e+00	2.825685e+04	1.791910e+04	1.465413e+04
4.020000e-03	2.826214e+04	1.792057e+04	1.465166e+04
8.040000e-03	2.827573e+04	1.791552e+04	1.463974e+04
1.206000e-02	2.829952e+04	1.790472e+04	1.461706e+04
1.608000e-02	3.605752e+04	2.069280e+04	1.387872e+04
2.010000e-02	2.322230e+04	1.595975e+04	1.500534e+04
2.412000e-02	5.057022e+03	8.611956e+03	1.660090e+04
2.814000e-02	-1.835799e+03	7.803150e+03	1.732849e+04
3.216000e-02	1.033881e+04	1.128420e+04	1.619576e+04
3.618000e-02	7.918524e+03	1.050668e+04	1.643013e+04
4.020000e-02	7.966856e+03	1.048939e+04	1.643514e+04
4.422000e-02	8.015038e+03	1.047216e+04	1.644014e+04
4.824000e-02	8.039248e+03	1.042649e+04	1.642433e+04
5.226000e-02	7.899807e+03	1.023855e+04	1.627419e+04
5.628000e-02	8.019120e+03	1.041961e+04	1.635879e+04
6.030000e-02	8.066731e+03	1.046602e+04	1.637352e+04
6.432000e-02	8.101559e+03	1.050197e+04	1.637792e+04
6.834000e-02	8.141149e+03	1.054454e+04	1.638663e+04
7.236000e-02	8.180741e+03	1.058711e+04	1.639538e+04
7.638000e-02	8.199465e+03	1.056989e+04	1.637626e+04
8.040000e-02	8.199127e+03	1.049877e+04	1.633603e+04
8.442000e-02	8.245897e+03	1.056246e+04	1.635919e+04
8.844000e-02	8.271427e+03	1.056541e+04	1.635244e+04
9.246000e-02	8.299439e+03	1.057555e+04	1.634940e+04
9.648000e-02	8.327506e+03	1.058593e+04	1.634650e+04
1.005000e-01	8.355572e+03	1.059635e+04	1.634321e+04
1.045200e-01	8.384465e+03	1.060833e+04	1.632939e+04
1.085400e-01	8.412270e+03	1.061832e+04	1.632901e+04
1.125600e-01	8.440050e+03	1.062833e+04	1.632833e+04
1.165800e-01	8.468007e+03	1.063871e+04	1.632500e+04
1.206000e-01	8.495886e+03	1.064900e+04	1.632226e+04
1.246200e-01	8.523730e+03	1.065927e+04	1.631953e+04
1.286400e-01	8.551740e+03	1.066996e+04	1.631358e+04
1.326600e-01	8.580158e+03	1.068159e+04	1.630081e+04
1.366800e-01	8.607527e+03	1.069092e+04	1.630481e+04
1.407000e-01	8.635287e+03	1.070121e+04	1.630161e+04
1.447200e-01	8.662988e+03	1.071142e+04	1.629888e+04
1.487400e-01	8.690646e+03	1.072161e+04	1.629631e+04
1.527600e-01	8.718271e+03	1.073177e+04	1.629375e+04
1.567800e-01	8.746230e+03	1.074301e+04	1.628250e+04
1.608000e-01	8.773915e+03	1.075344e+04	1.627787e+04
1.648200e-01	8.801286e+03	1.076303e+04	1.627973e+04
1.688400e-01	8.828833e+03	1.077325e+04	1.627640e+04
1.728600e-01	8.856312e+03	1.078335e+04	1.627397e+04
1.768800e-01	8.883756e+03	1.079344e+04	1.627157e+04
1.809000e-01	8.911197e+03	1.080368e+04	1.626770e+04
1.849200e-01	8.938824e+03	1.081505e+04	1.625395e+04
1.889400e-01	8.966097e+03	1.082450e+04	1.625695e+04
1.929600e-01	8.993417e+03	1.083449e+04	1.625512e+04
1.969800e-01	9.020720e+03	1.084455e+04	1.625253e+04
2.010000e-01	9.047984e+03	1.085456e+04	1.625028e+04
2.050200e-01	9.075213e+03	1.086456e+04	1.624804e+04
2.090400e-01	9.102405e+03	1.087513e+04	1.624022e+04
2.130600e-01	9.129594e+03	1.088584e+04	1.623107e+04
2.170800e-01	9.156769e+03	1.089516e+04	1.623518e+04
2.211000e-01	9.183885e+03	1.090522e+04	1.623203e+04
2.251200e-01	9.210973e+03	1.091517e+04	1.622989e+04
2.291400e-01	9.238026e+03	1.092510e+04	1.622781e+04
2.331600e-01	9.265036e+03	1.093505e+04	1.622534e+04
2.371800e-01	9.291777e+03	1.094598e+04	1.621247e+04
2.412000e-01	9.318829e+03	1.095567e+04	1.621283e+04
2.452200e-01	9.345822e+03	1.096536e+04	1.621294e+04
2.492400e-01	9.372717e+03	1.097528e+04	1.621043e+04
2.532600e-01	9.399592e+03	1.098515e+04	1.620849e+04
2.572800e-01	9.426433e+03	1.099500e+04	1.620658e+04
2.613000e-01	9.453093e+03	1.100511e+04	1.620151e+04
2.653200e-01	9.479427e+03	1.101580e+04	1.618971e+04
2.693400e-01	9.506517e+03	1.102507e+04	1.619439e+04
2.733600e-01	9.533220e+03	1.103494e+04	1.619202e+04
2.773800e-01	9.559912e+03	1.104475e+04	1.619010e+04
2.814000e-01	9.586576e+03	1.105454e+04	1.618833e+04
2.854200e-01	9.613206e+03	1.106433e+04	1.618659e+04
2.894400e-01	9.639200e+03	1.107475e+04	1.617639e+04
2.934600e-01	9.665654e+03	1.108468e+04	1.617257e+04
2.974800e-01	9.692521e+03	1.109411e+04	1.617515e+04
3.015000e-01	9.718978e+03	1.110392e+04	1.617264e+04
3.055200e-01	9.745465e+03	1.111365e+04	1.617103e+04
3.095400e-01	9.771917e+03	1.112337e+04	1.616943e+04
3.135600e-01	9.798196e+03	1.113318e+04	1.616643e+04
3.175800e-01	9.823518e+03	1.114364e+04	1.615384e+04
3.216000e-01	9.850419e+03	1.115300e+04	1.615746e+04
3.256200e-01	9.876805e+03	1.116265e+04	1.615643e+04
3.296400e-01	9.903082e+03	1.117235e+04	1.615466e+04
3.336600e-01	9.929355e+03	1.118202e+04	1.615322e+04
3.376800e-01	9.955593e+03	1.119168e+04	1.615179e+04
3.417000e-01	9.981128e+03	1.120165e+04	1.614502e+04
3.457200e-01	1.000650e+04	1.121171e+04	1.613690e+04
3.497400e-01	1.003343e+04	1.122098e+04	1.614158e+04
3.537600e-01	1.005943e+04	1.123066e+04	1.613928e+04
3.577800e-01	1.008552e+04	1.124027e+04	1.613795e+04
3.618000e-01	1.011158e+04	1.124987e+04	1.613668e+04
3.658200e-01	1.013754e+04	1.125949e+04	1.613504e+04
3.698400e-01	1.016196e+04	1.126963e+04	1.612348e+04
3.738600e-01	1.018830e+04	1.127910e+04	1.612450e+04
3.778800e-01	1.021456e+04	1.128856e+04	1.612534e+04
3.819000e-01	1.024038e+04	1.129815e+04	1.612365e+04
3.859200e-01	1.026626e+04	1.130771e+04	1.612252e+04
3.899400e-01	1.029210e+04	1.131725e+04	1.612142e+04
3.939600e-01	1.031735e+04	1.132692e+04	1.611734e+04
3.979800e-01	1.034141e+04	1.133689e+04	1.610685e+04
4.020000e-01	1.036833e+04	1.134613e+04	1.611198e+04
4.060200e-01	1.039396e+04	1.135566e+04	1.611044e+04
4.100400e-01	1.041963e+04	1.136517e+04	1.610933e+04
4.140600e-01	1.044528e+04	1.137466e+04	1.610837e+04
4.180800e-01	1.047090e+04	1.138414e+04	1.610743e+04
4.221000e-01	1.049477e+04	1.139394e+04	1.609858e+04
4.261200e-01	1.051992e+04	1.140349e+04	1.609564e+04
4.301400e-01	1.054634e+04	1.141280e+04	1.609877e+04
4.341600e-01	1.057166e+04	1.142229e+04	1.609712e+04
4.381800e-01	1.059713e+04	1.143173e+04	1.609630e+04
